Time,E_EW (V/km),E_NS (V/km)
71920,-0.314722933,-0.435577248
71930,-0.443339711,-0.422365412
71940,-0.440221784,-0.442455733
71950,-0.328425014,-0.270971678
71960,-0.250938861,0.080804043
71970,-0.250704917,0.100946338
71980,-0.336466965,-0.078125031
71990,-0.345367903,-0.274597278
72000,-0.456379048,-0.130193775
72010,-0.358480383,-0.06881272
72020,-0.188648421,0.062534567
72030,-0.19490424,0.20784276
72040,-0.470191926,0.094981322
72050,-0.544136611,0.168016264
72060,-0.388891631,0.352321832
72070,-0.177476762,0.310002802
72080,0.057242238,0.143256302
72090,0.276434395,-0.005404558
72100,0.465503577,-0.212710636
72110,0.695602008,-0.380743632
72120,0.618633496,-0.471088202
72130,0.464554001,-0.532202129
72140,0.532085747,-0.369277842
72150,0.553926132,-0.317922042
72160,0.597619672,-0.59982455
72170,0.332724265,-0.728241002
72180,0.159219261,-0.979985263
72190,0.147075525,-0.721528007
72200,0.033100718,-0.219460278
72210,-0.160431048,-0.211758271
72220,-0.067577783,-0.153697883
72230,0.083072797,-0.194777145
72240,0.172927245,0.070035436
72250,0.263940783,0.430500317
72260,0.290666132,0.578980799
72270,0.3224331,0.722196646
72280,0.485644515,0.438264331
72290,1.151857889,0.534589814
72300,1.353386034,0.444512508
72310,1.041275352,0.115242983
72320,0.795850586,-0.11575053
72330,0.918658528,-0.425365545
72340,0.967803697,-0.424236373
72350,1.077579564,-0.467399482
72360,1.036965012,-0.412188392
72370,0.667055646,-0.384977685
72380,0.604114745,-0.401672626
72390,0.535424105,-0.304522779
72400,0.391585734,-0.285407829
72410,0.152220332,-0.481735227
72420,0.053649104,-0.828028561
72430,-0.115090511,-0.708974594
72440,-0.2155477,-0.557518829
72450,-0.088221313,-0.309526488
72460,0.086430314,0.176450318
72470,0.249873926,0.585342861
72480,0.547275514,0.581931102
72490,0.668625251,0.378663936
72500,0.804989563,0.039575541
72510,0.724050528,0.002091935
72520,0.476201863,0.039997317
72530,0.306985676,0.135343248
72540,0.228597019,0.148631458
72550,0.314079865,0.088673165
72560,0.307239835,0.430677818
72570,0.070397346,0.732564191
72580,-0.035735504,0.783122109
72590,0.220626656,0.785166479
72600,0.345415914,0.264521973
72610,0.4344325,-0.388649734
72620,0.097185085,-0.799533967
72630,0.108827742,-1.076776954
72640,0.388791402,-0.988996441
72650,0.46989387,-0.546033426
72660,0.244317282,-0.239375121
72670,0.338606549,-0.147041291
72680,0.837276687,-0.178164373
72690,1.300868373,-0.087730388
72700,1.448230232,0.532797967
72710,1.337866269,0.780640957
72720,1.590771979,0.852225885
72730,1.655568573,0.745356261
72740,1.4227694,0.440020576
72750,1.21988846,0.153864437
72760,1.260918146,0.072104436
72770,1.510746706,-0.154438802
72780,1.774025423,-0.414288027
72790,1.395267249,-0.22603486
72800,1.113319446,0.136199885
72810,0.836525771,-0.068615376
72820,0.504148511,-0.35480275
72830,0.616373414,-0.203990015
72840,0.621164973,0.461447908
72850,0.273664188,0.506284514
72860,0.423337662,0.39097003
72870,0.491954096,0.644872103
72880,-0.044191907,0.598062668
72890,-0.338564018,-0.015703529
72900,-0.435761366,-0.048974511
72910,-0.357502391,0.268463527
72920,-0.325014125,0.044663383
72930,-0.022527072,0.222916097
72940,0.418239396,0.339967306
72950,0.694257563,0.328801831
72960,0.57249419,0.18334196
72970,0.19098573,-0.116451771
72980,0.11860882,0.034068385
72990,0.153644411,0.325711788
73000,0.400675193,0.436398305
73010,0.81842362,0.585947196
73020,0.95754749,0.743458147
73030,0.769893939,0.815474195
73040,0.610129093,0.498177275
73050,0.390632836,0.173834227
73060,0.195736789,-0.158887518
73070,0.203834802,-0.486910724
73080,0.475790159,-0.542151044
73090,0.77229947,-0.253680527
73100,0.752615196,-0.409825213
73110,0.496231428,-0.436220422
73120,0.373047173,-0.28707633
73130,0.430483776,-0.261079745
73140,0.384849634,0.212719797
73150,0.583076831,0.763379486
73160,0.96184324,1.221761241
73170,1.226979563,1.189511707
73180,1.201873086,0.922203125
73190,1.380029906,0.602131096
73200,1.413591055,0.609938077
73210,1.07258664,0.564333793
73220,0.991772911,0.436366912
73230,0.835202209,0.328205412
73240,0.571742913,0.105281283
73250,0.425630923,-0.101059319
73260,0.357995564,-0.161132151
73270,0.557764535,-0.137167754
73280,0.867961328,-0.1646853
73290,1.093261415,-0.084205226
73300,0.946355613,-0.001244883
73310,0.986892094,-0.031943439
73320,1.039088246,-0.297707499
73330,1.028713599,-0.425028216
73340,0.713358597,-0.201412312
73350,0.431474342,-0.159758598
73360,0.373289829,-0.268482848
73370,0.772221529,-0.292560406
73380,0.963579237,-0.355154331
